old_id,old_title,old_web,old_image,old_source,old_city,coverage,match_status,match_score,new_id,new_title,new_web
1,Jazz Queensland,http://www.jazzqueensland.com,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:276,Brisbane,covered,matched_domain,1,198,Jazz Queensland,jazzqueensland.com
2,WHAT'S ON,http://www.InviteOnlyDating.com,/images/CheapEatsBanner_120x80.gif,F:\Work\Websites\Frontpage Sites\events4singles\index.html,Melbourne,covered,matched_domain,1,192,Invite Only Dating,inviteonlydating.com
3,Inner Actions,,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:101,Canberra,covered,matched_title,1,600,Inner Actions,
4,Clinton Smith B.Counselling Location Central Coast,,/images/clintonsmith-sml.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\page_links\lifecoaches\lifecoachbio_clintonsmith_centralcoast.htm,,drop:non_listing_title,unmatched,0.538,,,
5,Tengo Tango,,/images/TengoTango_170x84.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:145,Canberra,covered,matched_title,1,472,Tengo Tango,akvaryumhobisi.com/tengotango
6,Melbourne River Cruises,http://www.melbcruises.com.au,/images/Melbournerivercruises_165x9.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:90,Melbourne,covered,matched_domain,1,283,Melbourne River Cruises,melbcruises.com.au
7,Phoenix Lifestyle,http://www.phoenixlifestyle.com,/images/pheonixlifestyle_120x80.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\images\events_melbourne.htm,Melbourne,covered,matched_title,1,535,Phoenix Lifestyle,phoenixlifestyle.com.au
8,Queensland,http://www.latinenergyproductions.com.au,/images/latinenergy_94x60.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_salsa.htm,Brisbane,covered,matched_domain,1,356,Queensland,latinenergyproductions.com.au
9,Professional Edge Seminars,http://www.taic.com.au,/images/austimageco_165x90.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:102,Melbourne,covered,matched_domain,1,484,The Australia Image Company,taic.com.au/05_corp.html
10,VIBRANCE,http://www.vibrance.net.au,/images/vibrance_120x79.jpg,F:\Work\Websites\Frontpage Sites\events4singles\events_brisbane.htm,Brisbane,possible_old_only,unmatched,0.526,,,
11,YogaTrinity,http://www.yogatrinity.com,/images/trinity120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:97,Brisbane,covered,matched_domain,1,678,Yoga Trinity - Brisbane,yogatrinity.com
13,Coasters Connect Gold Coast,http://www.coastersconnect.com,/images/costersConect_90x82.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\coasters_connect_gold_coast__so.htm,,possible_old_only,unmatched,0.56,,,
14,Vital Partners,http://www.vitalpartners.com.au,/images/vital_partners_120x80.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:134,Adelaide,covered,matched_domain,1,509,Vital Partners,vitalpartners.com.au
18,Sydney Salsa,http://www.sydneysalsa.net,/images/sydsalsablack_160x90.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\Customer page links\quotes\sydney salsa.htm,,drop:archive_or_admin_source,unmatched,0.833,,,
19,Mango Dance,http://www.mangodance.com.au,/images/Mango-Dance-Studio_100x94.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\pages\dance_classes_sydney_archmay06.htm,Sydney,possible_old_only,unmatched,0.727,,,
20,Le Step,http://www.lestep.com.au,/images/lestep_146x117.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_goldcoast.htm,Gold Coast,covered,matched_domain,1,239,Le Step,lestep.com.au
21,Tas Swing,http://www.tasswing.com.au,/images/tasswingx120x80.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_tasmania.htm,,covered,matched_domain,1,470,TasSwing,tasswing.com.au
22,FERRY Woolwich is well served by the inner-harbour ferry service. The ferry leaves from Circular Quay (generally from Wharf 5) at regular intervals an,,,D:\Projects\Clients\Dad\Events4singles\legacy\site\woolwich.htm,,drop:non_listing_title,unmatched,0.283,,,
24,RSVP Travel,,/images/RSVPHolidays_Apostles_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:88,Melbourne,covered,matched_title,1,374,RSVP Travel,rsvp.com.au | rsvp.com.au/singles+travel/trips+holidays.jsp
26,Latin Rhythms Dance Academy,http://www.latinrhythms.com.au,/images/latin_rythms_123x80.gif,F:\Work\Admin\Dad\Events 4 Singles\Images\dance_classes_canberra.htm,Canberra,covered,matched_domain,1,230,Latin Rhythms Dance Academy,latinrhythms.com.au
27,Singles Social Dance,,/images/jazzband_160x101.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\pat_powell_jazz_showcase.htm,Melbourne,possible_old_only,unmatched,0.706,,,
36,A Table for Six,http://www.atableforsix.com.au,/images/at46_ani_125x80a.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:80,Sunshine Coast,covered,matched_domain,1,550,A Table for Six - Melbourne,atableforsix.com.au
38,Image Update,http://www.imageupdate.com.au,/images/imageupdate_160x108.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:100,Perth,covered,matched_domain,1,187,Image Update,imageupdate.com.au
39,Life Development Centre,http://www.lifedevelopmentcentre.com/,/images/life_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:101,Melbourne,covered,matched_title,1,607,Life Development Centre,
40,Social Mingles,http://www.socialmingles.com.au,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:49,Brisbane,covered,matched_title,1,690,Social Mingles,events.socialmingles.com.au
41,Dinner at Eight,http://www.dinnerateight.com.au,/images/dinneradvert.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:503,Melbourne,covered,matched_domain,1,536,Dinner at Eight,dinnerateight.com.au
42,Katherine Boulton,http://www.katherineboulton.com,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:104,Hobart,covered,matched_domain,1,210,Katherine Boulton,katherineboulton.com
43,Magistic Cruises,http://www.newyearsevesydney.net.au/new_years_eve_magistic_program.html,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:90,Sydney,covered,matched_domain,1,398,Showboat Cruises,newyearsevesydney.net.au/new_years_eve_showboat_program.html
44,YouRmatched,http://www.yourmatched.com.au,/images/youRmatched-logox4-rgb-hr-black-(2).jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:142,Geelong,covered,matched_domain,1,680,YouRmatched Speed Dating Dinners in Geelong - plus more,yourmatched.com.au
45,Echuca-Moama Riverboats Jazz,http://www.echucamoama.com/jazz,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:275,Melbourne,covered,matched_domain,1,134,Echuca-Moama Riverboats Jazz,echucamoama.com/jazz
46,Rolfing on the move with Su Tindall,,/images/rolfingbysutindall_120x80.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\singles_health.htm,,covered,matched_title,1,370,Rolfing on the move with Su Tindall,rolfing-on-the-move.com.au
47,Valentinos,http://www.valentinoscaferestaurant.com.au,/images/valentinos_132x100.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:107,Melbourne,covered,matched_domain,1,502,Valentinos,valentinoscaferestaurant.com.au
48,Events calendar Perth,,/images/icon_canberra.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\canberraeventcal.htm,,drop:non_listing_title,unmatched,0.524,,,
51,Indigo,http://www.indigocoaching.com.au,/images/indigo_92x85.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\Customer page links\quotes\indigo.htm,,drop:archive_or_admin_source,unmatched,0.545,,,
